Timestamp,Yaw,Pitch,Roll,V_Yaw,V_Pitch,V_Roll
2026-02-13T23:13:49.580172+00:00,14.8,179.9,0,-194,5,-7
2026-02-13T23:13:49.619742+00:00,15.1,-179.9,0,-206,0,3
2026-02-13T23:13:49.660724+00:00,13.9,-179.9,0,-202,-4,3
2026-02-13T23:13:49.700753+00:00,13.4,-179.9,0,-178,-18,6
2026-02-13T23:13:49.740618+00:00,12,179.9,0,-140,12,-5
2026-02-13T23:13:49.780691+00:00,10.2,179.9,0,-123,-9,3
2026-02-13T23:13:49.820797+00:00,9.3,179.9,-1,-84,12,390
2026-02-13T23:13:49.860695+00:00,7.2,179.9,-2.7,-136,-3,351
2026-02-13T23:13:49.901742+00:00,4.8,179.9,-3.4,-148,14,38
2026-02-13T23:13:49.940506+00:00,2.1,179.9,-3.4,-94,1,-97
2026-02-13T23:13:49.980763+00:00,-0.3,179.9,-2.4,72,-2,-402
2026-02-13T23:13:50.020906+00:00,-2.1,-179.9,-0.2,179,3,-454
2026-02-13T23:13:50.062905+00:00,-3.2,-179.9,0,-8,-11,-3
2026-02-13T23:13:50.101660+00:00,-4.2,-179.9,0,-10,-8,-3
2026-02-13T23:13:50.142696+00:00,-5.6,-179.9,0,0,-14,-10
2026-02-13T23:13:50.182005+00:00,-7.1,179.9,0,26,1,-6
2026-02-13T23:13:50.222777+00:00,-8.5,-179.9,0,51,4,8
2026-02-13T23:13:50.263937+00:00,-9.3,179.9,0,71,1,5
2026-02-13T23:13:50.302117+00:00,-9.4,179.9,0,81,0,2
2026-02-13T23:13:50.342778+00:00,-9.4,-179.9,0,73,0,1
2026-02-13T23:13:50.383442+00:00,-9.2,-179.9,0,76,0,2
2026-02-13T23:13:50.422823+00:00,-8.8,179.9,0,71,-3,9
2026-02-13T23:13:50.462759+00:00,-8.4,179.9,0,64,-2,-1
2026-02-13T23:13:50.502798+00:00,-8,179.9,0,60,-2,3
2026-02-13T23:13:50.544152+00:00,-7.9,179.9,0,53,1,0
2026-02-13T23:13:50.583881+00:00,-7.7,179.9,0,52,5,4
2026-02-13T23:13:50.624951+00:00,-7.2,-179.9,0,45,10,4
2026-02-13T23:13:50.664139+00:00,-6.8,-179.9,0,39,-6,-5
2026-02-13T23:13:50.705697+00:00,-6.5,179.9,0,41,0,-7
2026-02-13T23:13:50.745524+00:00,-6.3,-179.9,0,33,9,19
2026-02-13T23:13:50.786025+00:00,-6,-179.9,0,28,0,3
2026-02-13T23:13:50.825327+00:00,-5.8,179.9,0,28,0,-3
2026-02-13T23:13:50.866854+00:00,-5.5,179.9,0,30,1,0
2026-02-13T23:13:50.906777+00:00,-5.2,-179.9,0,22,3,4
2026-02-13T23:13:50.946721+00:00,-5,-179.9,0,20,2,2
2026-02-13T23:13:50.987078+00:00,-5,-179.9,0,16,-6,0
2026-02-13T23:13:51.026902+00:00,-4.8,179.9,0,19,0,1
2026-02-13T23:13:51.067547+00:00,-4.7,179.9,0,18,10,0
2026-02-13T23:13:51.107890+00:00,-4.6,-179.9,0,18,1,2
